"","X","Y","pa","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"94",-104.95381,34.87444,"1",12.3,17.6,4.5,756.8,32,-6.4,38.4,21.2,4.2,22.2,2.7,351,72,11,66,176,36,172,37
"95",-107.59453,36.95717,"1",8.3,17.3,4,854,30.5,-12.1,42.6,14.8,12.3,19.3,-2.8,385,51,15,28,129,61,105,91
"96",-106.87838,35.9949,"1",6.4,17.6,4.4,763.5,27,-12.6,39.6,15.6,9.9,16.3,-3.4,442,74,22,43,183,72,165,87
"97",-105.317773,35.267407,"1",10.7,18.4,4.6,769,31.2,-8.8,40,19.8,1.9,20.8,0.9,328,69,10,69,171,33,163,34
"98",-108.565106,34.117195,"1",6.7,19.7,5.1,681.5,26.5,-11.8,38.3,15.1,9.6,15.6,-1.8,425,87,14,66,218,45,183,76
"99",-109.578903,38.770775,"1",11.5,15.8,3.6,948.5,34.5,-9,43.5,18.4,-0.9,23.7,-0.9,245,29,12,22,78,49,60,49
"100",-104.842536,38.859092,"1",8.8,16.3,4.1,800.9,29.5,-9.7,39.2,19.5,-1.1,19.5,-1.1,416,71,9,61,190,33,190,33
"101",-112.014725,35.597908,"1",9.8,16.2,4.4,733.5,29.7,-6.8,36.5,18.9,12.9,19.5,0.8,401,59,12,37,144,52,121,104
"102",-109.735535,38.64629,"1",11.5,15.9,3.6,947.9,34.5,-9.1,43.6,18.4,-0.8,23.7,-0.8,239,28,11,23,77,49,59,49
"103",-108.727732,39.103747,"1",10.4,15.1,3.5,934.5,32.8,-9.5,42.3,17.2,-1.7,22.5,-1.7,278,29,16,18,84,56,69,56
"104",-108.260483,38.093692,"1",6.5,16.8,4,812.5,28,-13,41,16.4,10.2,17,-3.9,449,52,23,23,151,90,127,93
"105",-108.317395,39.113403,"1",10.1,15.4,3.6,913.8,32.5,-10,42.5,16.8,-1.8,21.9,-1.8,297,32,18,18,90,59,71,59
"106",-112.156119,36.072149,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"107",-108.770626,39.122987,"1",10,14.6,3.4,926.5,32.3,-9.5,41.8,16.8,-1.9,22,-1.9,301,32,17,18,92,63,75,63
"108",-108.951472,39.206422,"1",10.6,16.4,3.7,956.9,33.8,-10.5,44.3,17.5,-2,22.8,-2,245,27,14,19,75,49,60,49
"109",-111.65792,35.157119,"1",7.9,16.5,4.5,712.7,27.6,-8.7,36.3,17,10.7,17.4,-0.8,554,74,12,38,192,63,155,156
"110",-112.141871,36.059993,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"111",-112.165694,36.071592,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"112",-111.827614,34.84523,"1",15,17.1,4.6,731.8,35.1,-1.9,37,24.1,18,24.7,6.1,473,59,9,37,154,52,119,134
"113",-111.754529,34.947804,"1",11.7,16.2,4.5,707.2,30.9,-4.4,35.3,20.6,14.6,21.1,3.1,584,72,12,37,185,66,149,174
"114",-111.82381,34.806502,"1",15.5,17.4,4.6,741.7,35.9,-1.8,37.7,24.8,18.6,25.3,6.5,440,57,9,37,148,49,114,121
"115",-111.829447,34.807926,"1",15.5,17.4,4.6,741.7,35.9,-1.8,37.7,24.8,18.6,25.3,6.5,440,57,9,37,148,49,114,121
"116",-105.832305,32.944997,"1",10,14.3,4.5,635.9,26.1,-5.2,31.3,17.3,9.2,18.3,2,506,102,12,67,262,58,240,90
"117",-108.048639,32.991394,"1",10.2,18.8,5.1,668.8,29.1,-7.3,36.4,18.3,13.4,19.1,1.9,451,93,10,72,243,44,207,82
"118",-109.214016,36.294344,"1",8.9,15.2,3.9,821.9,29.3,-9.6,38.9,18.9,12.6,19.7,-1.5,311,45,9,39,117,39,94,70
"119",-109.853981,38.103008,"1",10.9,15.5,3.6,917.6,33.3,-8.8,42.1,17.6,15.3,22.8,-0.9,254,30,10,25,85,45,66,57
"120",-112.140111,36.054445,"1",7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411,55,14,32,133,57,115,112
"121",-106.569444,32.337222,"1",11.5,15.8,4.6,673.1,28.9,-4.8,33.7,19.3,10.7,20.3,3.1,401,84,8,73,219,38,194,66
"122",-103.97,36.782222,"1",8.5,16.2,4.3,759.2,27.6,-10,37.6,18.4,-1,18.4,-1,464,86,12,63,219,41,219,41
"123",-112.107754,36.061728,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
"124",-105.956298,35.726247,"1",9,16.3,4.3,767.2,28.5,-9.2,37.7,18.1,-0.7,18.9,-0.7,402,75,19,56,191,58,177,58
"125",-106.582222,32.303056,"1",11.8,15.8,4.6,677.1,29.2,-4.7,33.9,19.6,10.9,20.6,3.3,392,81,8,73,214,37,189,64
"126",-112.095305,36.048642,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
"127",-112.105958,36.059578,"1",7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415,55,14,33,133,57,115,114
"128",-108.118325,32.807922,"1",11.3,17.8,5,673.1,29.8,-5.7,35.5,19.3,10.1,20.2,3,432,90,9,72,234,41,200,79
"129",-108.089911,32.813278,"1",11.3,17.8,5,673.1,29.8,-5.7,35.5,19.3,10.1,20.2,3,432,90,9,72,234,41,200,79
"130",-108.089814,32.813392,"1",11.3,17.8,5,673.1,29.8,-5.7,35.5,19.3,10.1,20.2,3,432,90,9,72,234,41,200,79
"131",-108.244133,32.897745,"1",9.8,18.1,5,662.5,28.3,-7.2,35.5,17.8,13,18.6,1.6,485,99,11,69,253,45,219,97
"132",-108.244203,32.898175,"1",9.8,18.1,5,662.5,28.3,-7.2,35.5,17.8,13,18.6,1.6,485,99,11,69,253,45,219,97
"133",-109.478177,37.624165,"1",10.6,15.3,3.7,894.5,32.8,-8.4,41.2,17.3,14.7,22.4,-0.8,306,36,10,27,99,46,74,81
"134",-106.448478,35.165578,"1",7.9,15.5,4.3,724,26.9,-9.1,36,16.5,11.5,17.3,-1.2,505,83,26,45,216,82,195,99
"135",-106.229111,35.811292,"1",10.2,15.9,4.1,798,30,-7.9,37.9,19.7,0.1,20.5,0.1,351,64,15,52,162,51,148,51
"136",-109.456902,38.717648,"1",10.8,15.4,3.6,930.9,33.4,-9.2,42.6,17.7,-1.2,22.9,-1.2,273,31,13,21,85,57,67,57
"137",-109.53163,38.684497,"1",11.4,15.7,3.6,939.8,34.3,-8.9,43.2,18.3,-0.7,23.6,-0.7,255,30,12,21,81,53,62,53
"138",-104.799878,31.9138,"1",13.7,15,4.5,654.6,30,-2.8,32.8,22.1,9.6,22.1,5.2,193,42,2,86,108,8,108,14
"139",-112.108612,35.8125,"1",9.3,16.4,4.4,733.9,29.4,-7.4,36.8,18.5,12.3,18.9,0.3,380,55,12,36,133,50,113,99
"140",-113.20211,37.435615,"1",9.5,16.1,4.1,786.5,30.5,-7.9,38.4,1.2,12.7,20,-0.1,397,48,13,26,127,66,88,112
"141",-109.984303,37.609684,"1",10,14,3.5,878.9,31.2,-8.1,39.3,16.7,14.1,21.6,-1.1,291,35,10,27,96,45,76,71
"142",-106.086686,38.815813,"1",5.3,17.7,4.3,800.2,26.8,-14,40.8,15,-4.7,15.8,-4.7,280,50,9,52,125,33,119,33
