"BehaviorSpace results (NetLogo 6.0.2)"
"FireModel-Lab07.nlogo"
"fireExp1"
"03/03/2018 17:04:08:667 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","density","extinction","ignition","[step]","percent-burned"
"2","80","0.2","0.75","48","2.9150074664011947"
"3","80","0.2","0.75","47","0.009253547193090685"
"8","80","0.2","0.75","51","0.10524035038846072"
"6","80","0.2","0.75","53","1.5299669946636232"
"5","80","0.2","0.75","48","3.0872607914782932"
"8","80","0.2","0.75","52","0.10524035038846072"
"3","80","0.2","0.75","48","0.009253547193090685"
"4","80","0.2","0.75","44","2.5758941055836932"
"1","80","0.2","0.75","41","2.4951363369669273"
"2","80","0.2","0.75","49","3.033225485316078"
"6","80","0.2","0.75","54","1.5762361578086925"
"7","80","0.2","0.75","56","0.00930896453284513"
"8","80","0.2","0.75","53","0.10524035038846072"
"5","80","0.2","0.75","49","3.1832538552053014"
"3","80","0.2","0.75","49","0.009253547193090685"
"4","80","0.2","0.75","45","2.6628965602958083"
"7","80","0.2","0.75","57","0.00930896453284513"
"6","80","0.2","0.75","55","1.6255899318300997"
"1","80","0.2","0.75","42","2.6155698977858752"
"8","80","0.2","0.75","54","0.10524035038846072"
"5","80","0.2","0.75","50","3.2699572676038895"
"3","80","0.2","0.75","50","0.009253547193090685"
"4","80","0.2","0.75","46","2.78097132026225"
"7","80","0.2","0.75","58","0.00930896453284513"
"8","80","0.2","0.75","55","0.10524035038846072"
"6","80","0.2","0.75","56","1.6841975384805208"
"1","80","0.2","0.75","43","2.76688385881481"
"5","80","0.2","0.75","51","3.369046881773704"
"3","80","0.2","0.75","51","0.009253547193090685"
"4","80","0.2","0.75","47","2.902153310754125"
"8","80","0.2","0.75","56","0.10524035038846072"
"6","80","0.2","0.75","57","1.7397205342546038"
"7","80","0.2","0.75","59","0.00930896453284513"
"5","80","0.2","0.75","52","3.4526537437294857"
"1","80","0.2","0.75","44","2.8811413395917613"
"3","80","0.2","0.75","52","0.009253547193090685"
"8","80","0.2","0.75","57","0.10524035038846072"
"4","80","0.2","0.75","48","3.007799148618836"
"6","80","0.2","0.75","58","1.8075819735340386"
"5","80","0.2","0.75","53","3.564129559670527"
"7","80","0.2","0.75","60","0.00930896453284513"
"1","80","0.2","0.75","45","3.0170151005157027"
"8","80","0.2","0.75","58","0.10524035038846072"
"3","80","0.2","0.75","53","0.009253547193090685"
"6","80","0.2","0.75","59","1.8692741910607977"
"5","80","0.2","0.75","54","3.675605375611569"
"4","80","0.2","0.75","49","3.1507317527887393"
"7","80","0.2","0.75","61","0.00930896453284513"
"8","80","0.2","0.75","59","0.10524035038846072"
"3","80","0.2","0.75","54","0.009253547193090685"
"5","80","0.2","0.75","55","3.7963708428810303"
"1","80","0.2","0.75","46","3.143624741376648"
"6","80","0.2","0.75","60","1.9371356303402327"
"7","80","0.2","0.75","62","0.00930896453284513"
"8","80","0.2","0.75","60","0.10524035038846072"
"4","80","0.2","0.75","50","3.29055712643321"
"5","80","0.2","0.75","56","3.9295225119217196"
"8","80","0.2","0.75","61","0.10524035038846072"
"1","80","0.2","0.75","47","3.273322422258593"
"6","80","0.2","0.75","61","2.0080816804960055"
"5","80","0.2","0.75","57","4.090543134947668"
"4","80","0.2","0.75","51","3.4272752695522484"
"8","80","0.2","0.75","62","0.10524035038846072"
"7","80","0.2","0.75","63","0.00930896453284513"
"1","80","0.2","0.75","48","3.421548343266529"
"3","80","0.2","0.75","55","0.009253547193090685"
"8","80","0.2","0.75","63","0.10524035038846072"
"5","80","0.2","0.75","58","4.239177556202391"
"6","80","0.2","0.75","62","2.09136617415713"
"4","80","0.2","0.75","52","3.576422334773017"
"7","80","0.2","0.75","64","0.00930896453284513"
"3","80","0.2","0.75","56","0.009253547193090685"
"8","80","0.2","0.75","64","0.10524035038846072"
"5","80","0.2","0.75","59","4.387811977457113"
"1","80","0.2","0.75","49","3.5913905444214556"
"7","80","0.2","0.75","65","0.00930896453284513"
"6","80","0.2","0.75","63","2.1808198895709308"
"4","80","0.2","0.75","53","3.7162477084174874"
"8","80","0.2","0.75","65","0.10524035038846072"
"3","80","0.2","0.75","57","0.009253547193090685"
"5","80","0.2","0.75","60","4.536446398711835"
"2","80","0.2","0.75","50","3.163887506222001"
"7","80","0.2","0.75","66","0.00930896453284513"
"1","80","0.2","0.75","50","3.7612327455763825"
"6","80","0.2","0.75","64","2.276442826737407"
"8","80","0.2","0.75","66","0.10524035038846072"
"3","80","0.2","0.75","58","0.009253547193090685"
"5","80","0.2","0.75","61","4.666501517309717"
"4","80","0.2","0.75","54","3.84675139048566"
"7","80","0.2","0.75","67","0.00930896453284513"
"6","80","0.2","0.75","65","2.3782349856565594"
"8","80","0.2","0.75","67","0.10524035038846072"
"5","80","0.2","0.75","62","4.793460085464792"
"7","80","0.2","0.75","68","0.00930896453284513"
"4","80","0.2","0.75","55","3.9990056862318615"
"8","80","0.2","0.75","68","0.10524035038846072"
"3","80","0.2","0.75","59","0.009253547193090685"
"1","80","0.2","0.75","51","3.915634746626316"
"6","80","0.2","0.75","66","2.489280977204726"
"5","80","0.2","0.75","63","4.948287607605128"
"7","80","0.2","0.75","69","0.00930896453284513"
"8","80","0.2","0.75","69","0.10524035038846072"
"5","80","0.2","0.75","64","5.137177184616338"
"4","80","0.2","0.75","56","4.145045520927198"
"1","80","0.2","0.75","52","4.051508507550258"
"3","80","0.2","0.75","60","0.009253547193090685"
"8","80","0.2","0.75","70","0.10524035038846072"
"6","80","0.2","0.75","67","2.6095808013819055"
"5","80","0.2","0.75","65","5.295101257199479"
"7","80","0.2","0.75","70","0.00930896453284513"
"8","80","0.2","0.75","71","0.10524035038846072"
"4","80","0.2","0.75","57","4.30972873877513"
"3","80","0.2","0.75","61","0.009253547193090685"
"6","80","0.2","0.75","68","2.7267960146827477"
"5","80","0.2","0.75","66","5.4654115315538485"
"1","80","0.2","0.75","53","4.2120865886421885"
"8","80","0.2","0.75","72","0.10524035038846072"
"7","80","0.2","0.75","71","0.00930896453284513"
"4","80","0.2","0.75","58","4.446446881894168"
"3","80","0.2","0.75","62","0.009253547193090685"
"6","80","0.2","0.75","69","2.8378420062309138"
"5","80","0.2","0.75","67","5.638818356351025"
"8","80","0.2","0.75","73","0.10524035038846072"
"1","80","0.2","0.75","54","4.369576629713121"
"7","80","0.2","0.75","72","0.00930896453284513"
"4","80","0.2","0.75","59","4.583165025013206"
"8","80","0.2","0.75","74","0.10524035038846072"
"6","80","0.2","0.75","70","2.9242111107683764"
"5","80","0.2","0.75","68","5.796742428934167"
"3","80","0.2","0.75","63","0.009253547193090685"
"8","80","0.2","0.75","75","0.10524035038846072"
"5","80","0.2","0.75","69","5.942280299746082"
"4","80","0.2","0.75","60","4.701239784979648"
"3","80","0.2","0.75","64","0.009253547193090685"
"1","80","0.2","0.75","55","4.5455949109100455"
"8","80","0.2","0.75","76","0.10524035038846072"
"5","80","0.2","0.75","70","6.115687124543259"
"7","80","0.2","0.75","73","0.00930896453284513"
"6","80","0.2","0.75","71","3.0136648261821772"
"8","80","0.2","0.75","77","0.10524035038846072"
"2","80","0.2","0.75","51","3.294549527127924"
"5","80","0.2","0.75","71","6.307673251997276"
"4","80","0.2","0.75","61","4.837957928098686"
"8","80","0.2","0.75","78","0.10524035038846072"
"2","80","0.2","0.75","52","3.4221005475360875"
"6","80","0.2","0.75","72","3.087695487214288"
"5","80","0.2","0.75","72","6.518238682108131"
"8","80","0.2","0.75","79","0.10524035038846072"
"2","80","0.2","0.75","53","3.558984569437531"
"4","80","0.2","0.75","62","4.974676071217724"
"6","80","0.2","0.75","73","3.1617261482463985"
"5","80","0.2","0.75","73","6.750479965318636"
